bufferSize;packetLength;trafficPattern;packetInjectionRate;Average latency;Average latency (cycles);Minimum latency;Minimum latency (cycles);Maximum latency;Maximum latency (cycles);Average hop count;Minimum hop count;Maximum hop count;Total sent flits;Total received flits;Total sent packets;Total received packets;Total injected packets;Simulated time;Simulated clock cycles;Delta cycles;Total flits at wrong Dest;Total modified flits (Router);Total modified flits (NI);Total dropped flits;Total ARQ sent;Total ACK sent;Total Retransmissions;Single Retransmissions ARQ;Multi Retransmissions ARQ;Number Flits in FlitBuffer;Acceptance Rate;Information Gain;Residual Error Probability;Residual Error Prob (Flits);
2;16;TrafficPattern::Bitcomplement;0.001;8815 ns;881;1100 ns;110;11760 ns;1176;6;4;8;1280;1280;80;80;80;300 us;30000;13344;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;



















2;256;TrafficPattern::Bitcomplement;0.001;28093 ns;2809;18480 ns;1848;37560 ns;3756;6;4;8;20480;18432;80;72;80;300 us;30000;77012;0;0;0;0;0;0;0;0;0;368;0.256;1;0.1;0.0820312;


















































































































































10;256;TrafficPattern::Bitcomplement;0.001;28560 ns;2856;22540 ns;2254;34500 ns;3450;6;4;8;20480;18432;80;72;80;300 us;30000;76890;0;0;0;0;0;0;0;0;0;1040;0.256;1;0.1;0.0492188;
12;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;13070;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
















12;208;TrafficPattern::Bitcomplement;0.001;21444 ns;2144;12620 ns;1262;27060 ns;2706;6;4;8;16640;14976;80;72;80;300 us;30000;82847;0;0;0;0;0;0;0;0;0;984;0.208;1;0.1;0.0408654;













































20;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;12852;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;












20;144;TrafficPattern::Bitcomplement;0.001;17563 ns;1756;8780 ns;878;21940 ns;2194;6;4;8;11520;10944;80;76;80;300 us;30000;78655;0;0;0;0;0;0;0;0;0;512;0.144;1;0.05;0.00555556;






20;256;TrafficPattern::Bitcomplement;0.001;28560 ns;2856;22540 ns;2254;34500 ns;3450;6;4;8;20480;18432;80;72;80;300 us;30000;76905;0;0;0;0;0;0;0;0;0;1040;0.256;1;0.1;0.0492188;
24;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;12852;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;



















24;256;TrafficPattern::Bitcomplement;0.001;28560 ns;2856;22540 ns;2254;34500 ns;3450;6;4;8;20480;18432;80;72;80;300 us;30000;76913;0;0;0;0;0;0;0;0;0;1040;0.256;1;0.1;0.0492188;
28;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;12852;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;











28;128;TrafficPattern::Bitcomplement;0.001;16080 ns;1608;7820 ns;782;20660 ns;2066;6;4;8;10240;10240;80;80;80;300 us;30000;75674;0;0;0;0;0;0;0;0;0;0;0.128;1;0;0;







28;256;TrafficPattern::Bitcomplement;0.001;28560 ns;2856;22540 ns;2254;34500 ns;3450;6;4;8;20480;18432;80;72;80;300 us;30000;76917;0;0;0;0;0;0;0;0;0;1040;0.256;1;0.1;0.0492188;
32;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;12852;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;













32;160;TrafficPattern::Bitcomplement;0.001;18607 ns;1860;9740 ns;974;23220 ns;2322;6;4;8;12800;12160;80;76;80;300 us;30000;81318;0;0;0;0;0;0;0;0;0;512;0.16;1;0.05;0.01;





32;256;TrafficPattern::Bitcomplement;0.001;28560 ns;2856;22540 ns;2254;34500 ns;3450;6;4;8;20480;18432;80;72;80;300 us;30000;76921;0;0;0;0;0;0;0;0;0;1040;0.256;1;0.1;0.0492188;
2;256;TrafficPattern::Bitcomplement;0.001;28093 ns;2809;18480 ns;1848;37560 ns;3756;6;4;8;20480;18432;80;72;80;300 us;30000;77012;0;0;0;0;0;0;0;0;0;368;0.256;1;0.1;0.0820312;







2;512;TrafficPattern::Bitcomplement;0.001;123024 ns;12302;85040 ns;8504;160440 ns;16044;6;4;8;40960;38912;80;76;80;300 us;30000;75966;0;0;0;0;0;0;0;0;0;1680;0.512;1;0.05;0.00898437;


































































































20;512;TrafficPattern::Bitcomplement;0.001;125812 ns;12581;94220 ns;9422;157380 ns;15738;5;4;8;40960;38912;80;76;80;300 us;30000;75935;0;0;0;0;0;0;0;0;0;192;0.512;1;0.05;0.0453125;








24;512;TrafficPattern::Bitcomplement;0.001;125812 ns;12581;94220 ns;9422;157380 ns;15738;5;4;8;40960;38912;80;76;80;300 us;30000;75939;0;0;0;0;0;0;0;0;0;176;0.512;1;0.05;0.0457031;








