bufferSize;packetLength;trafficPattern;packetInjectionRate;Average latency;Average latency (cycles);Minimum latency;Minimum latency (cycles);Maximum latency;Maximum latency (cycles);Average hop count;Minimum hop count;Maximum hop count;Total sent flits;Total received flits;Total sent packets;Total received packets;Total injected packets;Simulated time;Simulated clock cycles;Delta cycles;Total flits at wrong Dest;Total modified flits (Router);Total modified flits (NI);Total dropped flits;Total ARQ sent;Total ACK sent;Total Retransmissions;Single Retransmissions ARQ;Multi Retransmissions ARQ;Number Flits in FlitBuffer;Acceptance Rate;Information Gain;Residual Error Probability;Residual Error Prob (Flits);
0;8;TrafficPattern::Bitcomplement;0.001;10800 ns;1080;10500 ns;1050;11100 ns;1110;6;4;8;640;640;80;80;80;300 us;30000;7667;0;0;0;0;0;0;0;0;0;0;0.008;1;0;0;
0;16;TrafficPattern::Bitcomplement;0.001;8800 ns;880;1080 ns;108;11700 ns;1170;6;4;8;1280;1280;80;80;80;300 us;30000;12852;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
0;24;TrafficPattern::Bitcomplement;0.001;9320 ns;932;1560 ns;156;12340 ns;1234;6;4;8;1920;1920;80;80;80;300 us;30000;17701;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
0;28;TrafficPattern::Bitcomplement;0.001;9580 ns;958;1800 ns;180;12660 ns;1266;6;4;8;2240;2240;80;80;80;300 us;30000;19742;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
0;32;TrafficPattern::Bitcomplement;0.001;9840 ns;984;2040 ns;204;12980 ns;1298;6;4;8;2560;2560;80;80;80;300 us;30000;22362;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
0;36;TrafficPattern::Bitcomplement;0.001;10100 ns;1010;2280 ns;228;13300 ns;1330;6;4;8;2880;2880;80;80;80;300 us;30000;25003;0;0;0;0;0;0;0;0;0;0;0.036;1;0;0;
0;40;TrafficPattern::Bitcomplement;0.001;10360 ns;1036;2520 ns;252;13620 ns;1362;6;4;8;3200;3200;80;80;80;300 us;30000;27401;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
0;44;TrafficPattern::Bitcomplement;0.001;10620 ns;1062;2760 ns;276;13940 ns;1394;6;4;8;3520;3520;80;80;80;300 us;30000;29923;0;0;0;0;0;0;0;0;0;0;0.044;1;0;0;
0;48;TrafficPattern::Bitcomplement;0.001;10880 ns;1088;3 us;300;14260 ns;1426;6;4;8;3840;3840;80;80;80;300 us;30000;32167;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
0;56;TrafficPattern::Bitcomplement;0.001;11400 ns;1140;3480 ns;348;14900 ns;1490;6;4;8;4480;4480;80;80;80;300 us;30000;36762;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
0;60;TrafficPattern::Bitcomplement;0.001;11660 ns;1166;3720 ns;372;15220 ns;1522;6;4;8;4800;4800;80;80;80;300 us;30000;39211;0;0;0;0;0;0;0;0;0;0;0.06;1;0;0;
0;64;TrafficPattern::Bitcomplement;0.001;11730 ns;1173;3960 ns;396;15540 ns;1554;5;4;8;5120;4864;80;76;80;300 us;30000;41324;0;0;0;0;0;0;0;0;0;205;0.064;1;0.05;0.00996094;
0;68;TrafficPattern::Bitcomplement;0.001;11986 ns;1198;4200 ns;420;15860 ns;1586;5;4;8;5440;5168;80;76;80;300 us;30000;43953;0;0;0;0;0;0;0;0;0;157;0.068;1;0.05;0.0211397;
0;72;TrafficPattern::Bitcomplement;0.001;12243 ns;1224;4440 ns;444;16180 ns;1618;5;4;8;5760;5472;80;76;80;300 us;30000;46137;0;0;0;0;0;0;0;0;0;108;0.072;1;0.05;0.03125;
0;76;TrafficPattern::Bitcomplement;0.001;12500 ns;1250;4680 ns;468;16500 ns;1650;5;4;8;6080;5776;80;76;80;300 us;30000;48610;0;0;0;0;0;0;0;0;0;61;0.076;1;0.05;0.0399671;
0;80;TrafficPattern::Bitcomplement;0.001;12757 ns;1275;4920 ns;492;16820 ns;1682;5;4;8;6400;6080;80;76;80;300 us;30000;50893;0;0;0;0;0;0;0;0;0;12;0.08;1;0.05;0.048125;
0;84;TrafficPattern::Bitcomplement;0.001;13110 ns;1311;5160 ns;516;17140 ns;1714;6;4;8;6720;6384;80;76;80;300 us;30000;53394;0;0;0;0;0;0;0;0;0;328;0.084;1;0.05;0.00119048;
0;88;TrafficPattern::Bitcomplement;0.001;13370 ns;1337;5400 ns;540;17460 ns;1746;6;4;8;7040;6688;80;76;80;300 us;30000;56062;0;0;0;0;0;0;0;0;0;296;0.088;1;0.05;0.00795455;
0;92;TrafficPattern::Bitcomplement;0.001;13631 ns;1363;5640 ns;564;17780 ns;1778;6;4;8;7360;6992;80;76;80;300 us;30000;58342;0;0;0;0;0;0;0;0;0;264;0.092;1;0.05;0.0141304;
0;96;TrafficPattern::Bitcomplement;0.001;13893 ns;1389;5880 ns;588;18100 ns;1810;6;4;8;7680;7296;80;76;80;300 us;30000;60713;0;0;0;0;0;0;0;0;0;232;0.096;1;0.05;0.0197917;
0;100;TrafficPattern::Bitcomplement;0.001;14154 ns;1415;6120 ns;612;18420 ns;1842;6;4;8;8000;7600;80;76;80;300 us;30000;63031;0;0;0;0;0;0;0;0;0;201;0.1;1;0.05;0.024875;
0;104;TrafficPattern::Bitcomplement;0.001;14415 ns;1441;6360 ns;636;18740 ns;1874;6;4;8;8320;7904;80;76;80;300 us;30000;65688;0;0;0;0;0;0;0;0;0;168;0.104;1;0.05;0.0298077;
0;108;TrafficPattern::Bitcomplement;0.001;14676 ns;1467;6600 ns;660;19060 ns;1906;6;4;8;8640;8208;80;76;80;300 us;30000;68457;0;0;0;0;0;0;0;0;0;137;0.108;1;0.05;0.0341435;
0;109;TrafficPattern::Bitcomplement;0.001;14768 ns;1476;6660 ns;666;19140 ns;1914;6;4;8;8720;8393;80;77;80;300 us;30000;69186;0;0;0;0;0;0;0;0;0;96;0.109;1;0.0375;0.0264908;
