bufferSize;packetLength;trafficPattern;packetInjectionRate;Average latency;Average latency (cycles);Minimum latency;Minimum latency (cycles);Maximum latency;Maximum latency (cycles);Average hop count;Minimum hop count;Maximum hop count;Total sent flits;Total received flits;Total sent packets;Total received packets;Total injected packets;Simulated time;Simulated clock cycles;Delta cycles;Total flits at wrong Dest;Total modified flits (Router);Total modified flits (NI);Total dropped flits;Total ARQ sent;Total ACK sent;Total Retransmissions;Single Retransmissions ARQ;Multi Retransmissions ARQ;Number Flits in FlitBuffer;Acceptance Rate;Information Gain;Residual Error Probability;Residual Error Prob (Flits);
2;16;TrafficPattern::Bitcomplement;0.001;8815 ns;881;1100 ns;110;11760 ns;1176;6;4;8;1280;1280;80;80;80;300 us;30000;13344;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
2;20;TrafficPattern::Bitcomplement;0.001;9075 ns;907;1340 ns;134;12080 ns;1208;6;4;8;1600;1600;80;80;80;300 us;30000;15700;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
2;24;TrafficPattern::Bitcomplement;0.001;9335 ns;933;1580 ns;158;12400 ns;1240;6;4;8;1920;1920;80;80;80;300 us;30000;18055;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
2;28;TrafficPattern::Bitcomplement;0.001;9595 ns;959;1820 ns;182;12720 ns;1272;6;4;8;2240;2240;80;80;80;300 us;30000;20417;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
2;32;TrafficPattern::Bitcomplement;0.001;9855 ns;985;2060 ns;206;13040 ns;1304;6;4;8;2560;2560;80;80;80;300 us;30000;22751;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
2;40;TrafficPattern::Bitcomplement;0.001;10375 ns;1037;2540 ns;254;13680 ns;1368;6;4;8;3200;3200;80;80;80;300 us;30000;27539;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
2;48;TrafficPattern::Bitcomplement;0.001;10895 ns;1089;3020 ns;302;14320 ns;1432;6;4;8;3840;3840;80;80;80;300 us;30000;32311;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
2;56;TrafficPattern::Bitcomplement;0.001;11415 ns;1141;3500 ns;350;14960 ns;1496;6;4;8;4480;4480;80;80;80;300 us;30000;37076;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
2;64;TrafficPattern::Bitcomplement;0.001;11742 ns;1174;3980 ns;398;15600 ns;1560;5;4;8;5120;4864;80;76;80;300 us;30000;41852;0;0;0;0;0;0;0;0;0;192;0.064;1;0.05;0.0125;
2;80;TrafficPattern::Bitcomplement;0.001;12975 ns;1297;4940 ns;494;16880 ns;1688;6;4;8;6400;6400;80;80;80;300 us;30000;51391;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
2;96;TrafficPattern::Bitcomplement;0.001;13794 ns;1379;5900 ns;590;18160 ns;1816;6;4;8;7680;6912;80;72;80;300 us;30000;60864;0;0;0;0;0;0;0;0;0;480;0.096;1;0.1;0.0375;
2;112;TrafficPattern::Bitcomplement;0.001;14843 ns;1484;6860 ns;686;19440 ns;1944;6;4;8;8960;8064;80;72;80;300 us;30000;70372;0;0;0;0;0;0;0;0;0;224;0.112;1;0.1;0.075;
2;128;TrafficPattern::Bitcomplement;0.001;16095 ns;1609;7820 ns;782;20720 ns;2072;6;4;8;10240;10240;80;80;80;300 us;30000;76784;0;0;0;0;0;0;0;0;0;0;0.128;1;0;0;
2;144;TrafficPattern::Bitcomplement;0.001;17582 ns;1758;8780 ns;878;22060 ns;2206;6;4;8;11520;10944;80;76;80;300 us;30000;75449;0;0;0;0;0;0;0;0;0;512;0.144;1;0.05;0.00555556;
2;160;TrafficPattern::Bitcomplement;0.001;18626 ns;1862;9740 ns;974;23340 ns;2334;6;4;8;12800;12160;80;76;80;300 us;30000;79047;0;0;0;0;0;0;0;0;0;512;0.16;1;0.05;0.01;
2;176;TrafficPattern::Bitcomplement;0.001;19671 ns;1967;10700 ns;1070;24620 ns;2462;6;4;8;14080;13376;80;76;80;300 us;30000;80242;0;0;0;0;0;0;0;0;0;512;0.176;1;0.05;0.0136364;
2;192;TrafficPattern::Bitcomplement;0.001;18536 ns;1853;11660 ns;1166;25840 ns;2584;5;4;8;15360;3840;80;20;80;300 us;30000;29170;0;0;0;0;0;0;0;0;0;2685;0.192;1;0.75;0.575195;
2;208;TrafficPattern::Bitcomplement;0.001;19560 ns;1956;12620 ns;1262;27120 ns;2712;5;4;8;16640;4160;80;20;80;300 us;30000;30044;0;0;0;0;0;0;0;0;0;2596;0.208;1;0.75;0.59399;
2;224;TrafficPattern::Bitcomplement;0.001;20584 ns;2058;13580 ns;1358;28400 ns;2840;5;4;8;17920;4480;80;20;80;300 us;30000;31114;0;0;0;0;0;0;0;0;0;2340;0.224;1;0.75;0.61942;
2;240;TrafficPattern::Bitcomplement;0.001;21652 ns;2165;14520 ns;1452;29820 ns;2982;5;4;8;19200;4800;80;20;80;300 us;30000;31569;0;0;0;0;0;0;0;0;0;2052;0.24;1;0.75;0.643125;
2;256;TrafficPattern::Bitcomplement;0.001;28093 ns;2809;18480 ns;1848;37560 ns;3756;6;4;8;20480;18432;80;72;80;300 us;30000;77012;0;0;0;0;0;0;0;0;0;368;0.256;1;0.1;0.0820312;
3;16;TrafficPattern::Bitcomplement;0.001;8810 ns;881;1100 ns;110;11740 ns;1174;6;4;8;1280;1280;80;80;80;300 us;30000;13456;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
3;20;TrafficPattern::Bitcomplement;0.001;9070 ns;907;1340 ns;134;12060 ns;1206;6;4;8;1600;1600;80;80;80;300 us;30000;15817;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
3;24;TrafficPattern::Bitcomplement;0.001;9330 ns;933;1580 ns;158;12380 ns;1238;6;4;8;1920;1920;80;80;80;300 us;30000;18180;0;0;0;0;0;0;0;0;0;0;0.024;1;0;0;
3;28;TrafficPattern::Bitcomplement;0.001;9590 ns;959;1820 ns;182;12700 ns;1270;6;4;8;2240;2240;80;80;80;300 us;30000;20559;0;0;0;0;0;0;0;0;0;0;0.028;1;0;0;
3;32;TrafficPattern::Bitcomplement;0.001;9850 ns;985;2060 ns;206;13020 ns;1302;6;4;8;2560;2560;80;80;80;300 us;30000;22937;0;0;0;0;0;0;0;0;0;0;0.032;1;0;0;
3;40;TrafficPattern::Bitcomplement;0.001;10370 ns;1037;2540 ns;254;13660 ns;1366;6;4;8;3200;3200;80;80;80;300 us;30000;27705;0;0;0;0;0;0;0;0;0;0;0.04;1;0;0;
3;48;TrafficPattern::Bitcomplement;0.001;10890 ns;1089;3020 ns;302;14300 ns;1430;6;4;8;3840;3840;80;80;80;300 us;30000;32476;0;0;0;0;0;0;0;0;0;0;0.048;1;0;0;
3;56;TrafficPattern::Bitcomplement;0.001;11410 ns;1141;3500 ns;350;14940 ns;1494;6;4;8;4480;4480;80;80;80;300 us;30000;37226;0;0;0;0;0;0;0;0;0;0;0.056;1;0;0;
3;64;TrafficPattern::Bitcomplement;0.001;11738 ns;1173;3980 ns;398;15580 ns;1558;5;4;8;5120;4864;80;76;80;300 us;30000;41978;0;0;0;0;0;0;0;0;0;196;0.064;1;0.05;0.0117188;
3;80;TrafficPattern::Bitcomplement;0.001;12970 ns;1297;4940 ns;494;16860 ns;1686;6;4;8;6400;6400;80;80;80;300 us;30000;51491;0;0;0;0;0;0;0;0;0;0;0.08;1;0;0;
3;96;TrafficPattern::Bitcomplement;0.001;13789 ns;1378;5900 ns;590;18140 ns;1814;6;4;8;7680;6912;80;72;80;300 us;30000;60988;0;0;0;0;0;0;0;0;0;480;0.096;1;0.1;0.0375;
3;112;TrafficPattern::Bitcomplement;0.001;14838 ns;1483;6860 ns;686;19420 ns;1942;6;4;8;8960;8064;80;72;80;300 us;30000;70511;0;0;0;0;0;0;0;0;0;224;0.112;1;0.1;0.075;
3;128;TrafficPattern::Bitcomplement;0.001;16090 ns;1609;7820 ns;782;20700 ns;2070;6;4;8;10240;10240;80;80;80;300 us;30000;77051;0;0;0;0;0;0;0;0;0;0;0.128;1;0;0;
3;144;TrafficPattern::Bitcomplement;0.001;17576 ns;1757;8780 ns;878;22020 ns;2202;6;4;8;11520;10944;80;76;80;300 us;30000;78833;0;0;0;0;0;0;0;0;0;512;0.144;1;0.05;0.00555556;
3;160;TrafficPattern::Bitcomplement;0.001;18620 ns;1862;9740 ns;974;23300 ns;2330;6;4;8;12800;12160;80;76;80;300 us;30000;80632;0;0;0;0;0;0;0;0;0;512;0.16;1;0.05;0.01;
3;176;TrafficPattern::Bitcomplement;0.001;19664 ns;1966;10700 ns;1070;24580 ns;2458;6;4;8;14080;13376;80;76;80;300 us;30000;82351;0;0;0;0;0;0;0;0;0;512;0.176;1;0.05;0.0136364;
3;192;TrafficPattern::Bitcomplement;0.001;20422 ns;2042;11660 ns;1166;25820 ns;2582;6;4;8;15360;13824;80;72;80;300 us;30000;82353;0;0;0;0;0;0;0;0;0;1172;0.192;1;0.1;0.0236979;
3;208;TrafficPattern::Bitcomplement;0.001;21453 ns;2145;12620 ns;1262;27100 ns;2710;6;4;8;16640;14976;80;72;80;300 us;30000;82429;0;0;0;0;0;0;0;0;0;968;0.208;1;0.1;0.0418269;
3;224;TrafficPattern::Bitcomplement;0.001;22484 ns;2248;13580 ns;1358;28380 ns;2838;6;4;8;17920;16128;80;72;80;300 us;30000;82621;0;0;0;0;0;0;0;0;0;584;0.224;1;0.1;0.0674107;
3;240;TrafficPattern::Bitcomplement;0.001;23519 ns;2351;14520 ns;1452;29680 ns;2968;6;4;8;19200;17280;80;72;80;300 us;30000;84100;0;0;0;0;0;0;0;0;0;200;0.24;1;0.1;0.0895833;
3;256;TrafficPattern::Bitcomplement;0.001;27372 ns;2737;18080 ns;1808;36540 ns;3654;6;4;8;20480;18432;80;72;80;300 us;30000;76911;0;0;0;0;0;0;0;0;0;592;0.256;1;0.1;0.0710938;
4;16;TrafficPattern::Bitcomplement;0.001;8805 ns;880;1100 ns;110;11720 ns;1172;6;4;8;1280;1280;80;80;80;300 us;30000;13286;0;0;0;0;0;0;0;0;0;0;0.016;1;0;0;
4;20;TrafficPattern::Bitcomplement;0.001;9065 ns;906;1340 ns;134;12040 ns;1204;6;4;8;1600;1600;80;80;80;300 us;30000;15651;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;
